feature
gc_content_3utr
gc_content_5utr
gc_content_cds
gc_content_last100
gc_content_mrna
gc_content_start
gc_content_stop
frac_a_3utr
frac_a_5utr
frac_a_cds
frac_a_last100
frac_a_mrna
frac_a_start
frac_a_stop
frac_c_3utr
frac_c_5utr
frac_c_cds
frac_c_last100
frac_c_mrna
frac_c_start
frac_c_stop
frac_g_3utr
frac_g_5utr
frac_g_cds
frac_g_last100
frac_g_mrna
frac_g_start
frac_g_stop
frac_u_3utr
frac_u_5utr
frac_u_cds
frac_u_last100
frac_u_mrna
frac_u_start
frac_u_stop
gc_skew_3utr
gc_skew_5utr
gc_skew_cds
gc_skew_last100
gc_skew_mrna
gc_skew_start
gc_skew_stop
at_skew_3utr
at_skew_5utr
at_skew_cds
at_skew_last100
at_skew_mrna
at_skew_start
at_skew_stop
purine_ratio_3utr
purine_ratio_5utr
purine_ratio_cds
purine_ratio_last100
purine_ratio_mrna
purine_ratio_start
purine_ratio_stop
amino_ratio_3utr
amino_ratio_5utr
amino_ratio_cds
amino_ratio_last100
amino_ratio_mrna
amino_ratio_start
amino_ratio_stop
stopfree_3utr
stopfree_5utr
stopfree_mrna
nmd_transition_fragile_codon_density_mrna
nmd_transversion_fragile_codon_density_mrna
nmd_snv_fragile_codon_density_mrna
nmd_alt_stop_codon_density_mrna
nmd_transition_fraction_of_snv_fragile_mrna
exon_length_first_mrna
exon_length_last_mrna
internal_exon_mean
internal_exon_median
internal_exon_sd
intron_length_mean_mrna
intron_median
intron_sd
stop_dist_closest_upstream
stop_dist_closest_downstream
stop_dist_last_downstream
start_dist_closest_upstream
start_dist_closest_downstream
n_overlapping_uorfs
uorf_present_mrna
total_classical_uorf_codons
max_classical_uorf_codons
dist_cap_to_first_uatg_mrna
dist_last_uorf_stop_to_main_atg
codon_aaa_cds
codon_aac_cds
codon_aag_cds
codon_aat_cds
codon_aca_cds
codon_acc_cds
codon_acg_cds
codon_act_cds
codon_aga_cds
codon_agc_cds
codon_agg_cds
codon_agt_cds
codon_ata_cds
codon_atc_cds
codon_atg_cds
codon_att_cds
codon_caa_cds
codon_cac_cds
codon_cag_cds
codon_cat_cds
codon_cca_cds
codon_ccc_cds
codon_ccg_cds
codon_cct_cds
codon_cga_cds
codon_cgc_cds
codon_cgg_cds
codon_cgt_cds
codon_cta_cds
codon_ctc_cds
codon_ctg_cds
codon_ctt_cds
codon_gaa_cds
codon_gac_cds
codon_gag_cds
codon_gat_cds
codon_gca_cds
codon_gcc_cds
codon_gcg_cds
codon_gct_cds
codon_gga_cds
codon_ggc_cds
codon_ggg_cds
codon_ggt_cds
codon_gta_cds
codon_gtc_cds
codon_gtg_cds
codon_gtt_cds
codon_taa_cds
codon_tac_cds
codon_tag_cds
codon_tat_cds
codon_tca_cds
codon_tcc_cds
codon_tcg_cds
codon_tct_cds
codon_tga_cds
codon_tgc_cds
codon_tgg_cds
codon_tgt_cds
codon_tta_cds
codon_ttc_cds
codon_ttg_cds
codon_ttt_cds
aa_a_cds
aa_c_cds
aa_d_cds
aa_e_cds
aa_f_cds
aa_g_cds
aa_h_cds
aa_i_cds
aa_k_cds
aa_l_cds
aa_m_cds
aa_n_cds
aa_p_cds
aa_q_cds
aa_r_cds
aa_s_cds
aa_t_cds
aa_v_cds
aa_w_cds
aa_y_cds
junctions_density_5utr
junctions_density_cds
junctions_density_3utr
junctions_density_mrna
exon_length_first_fraction_mrna
exon_length_last_fraction_mrna
